#                       fmin  ,   foE   ,   h'E   ,   foEs  ,   h'Es  ,   fbEs  ,   foF1  ,   h'F   ,   h'F2  ,   foF2  ,   fxF2  ,   M3F2  ,   fxI   ,   hpF2  ,   fxEs  ,   ftEs  ,   fxF1  ,   FSPR  ,   MUF   ,   Es1   ,   Es2   ,   Es    ,   W     
OK426,20240322000000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----, 3280----, 3100----, 1070    , 1142----,     ----, 1108X   , 3550----,     ----,     ----,     ----,  108----, 2877----,-----G   ,-----    ,     ----,-----    
OK426,20240322001500:  136    ,     ----,     ----,     ----,     ----,     ----,     ----, 3600----, 3360----, 1010    , 1054----,     ----, 1080X   ,     ----,     ----,     ----,     ----,   60----,     ----,-----G   ,-----    ,     ----,-----    
OK426,20240322003000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 3320----,  994    , 1006----,     ----,  948X   , 3949----,     ----,     ----,     ----,   96----, 2464----,-----G   ,-----    ,     ----,-----    
OK426,20240322004500:  148    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 3540----,  970    , 1034----,     ----,  932X   , 4040----,     ----,     ----,     ----,  132----, 2364----,-----G   ,-----    ,     ----,-----    
OK426,20240322010000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 3660----,  970    , 1002----,     ----,  936X   , 4105----,     ----,     ----,     ----,     ----, 2404----,-----G   ,-----    ,     ----,-----    
OK426,20240322011500:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 3480----,  986    , 1030----,     ----,  908X   , 4174----,     ----,     ----,     ----,     ----, 2381----,-----G   ,-----    ,     ----,-----    
OK426,20240322013000:  142    ,     ----,     ----,     ----,  960----,     ----,     ----,     ----, 3520----,  962    , 1002----,     ----,  940X   , 3993----,  202----,     ----,     ----,     ----, 2448----,-----G   ,-----    ,     ----,-----    
OK426,20240322014500:  142    ,     ----,  920----,     ----,  980----,     ----,     ----, 3360----, 3100----,  990    , 1030----,     ----,  944X   , 3670----,  198----,     ----,     ----,  108----, 2529----,-----G   ,-----    ,     ----,-----    
OK426,20240322020000:  150    ,     ----,  920----,     ----,  980----,     ----,     ----, 3060----, 3040----, 1050    , 1122----,     ----, 1078X   , 3294----,  210----,     ----,     ----,     ----, 2963----,-----G   ,-----    ,     ----,-----    
OK426,20240322021500:  150    ,     ----,  920----,     ----,  960----,     ----,     ----, 2720----, 2740----, 1154    , 1198----,     ----, 1124X   , 3279----,  226----,     ----,     ----,   48----, 3251----,-----G   ,-----    ,     ----,-----F   
OK426,20240322023000:  158    ,     ----,  920----,     ----,  980----,     ----,     ----, 2320----, 2280----, 1218    , 1242----,     ----, 1244X   , 2505----,  206----,     ----,     ----,  132----, 3952----,-----G   ,-----    ,     ----,-----    
