#                       fmin  ,   foE   ,   h'E   ,   foEs  ,   h'Es  ,   fbEs  ,   foF1  ,   h'F   ,   h'F2  ,   foF2  ,   fxF2  ,   M3F2  ,   fxI   ,   hpF2  ,   fxEs  ,   ftEs  ,   fxF1  ,   FSPR  ,   MUF   ,   Es1   ,   Es2   ,   Es    ,   W     
TO536,20240322000000:  162    ,     ----,  920----,  186----,  980----,  186----,     ----, 3060----,     ----,  594    ,  678----,     ----,  594X   , 3796----,  246----,  243----,     ----,   62----, 1475----,-----    ,-----    ,     ----,-----    
TO536,20240322001500:  174    ,  234----,     ----,  174----,  980----,  174----,     ----, 3340----,     ----,  598    ,  670----,     ----,  598X   , 4031----,  234----,     ----,     ----,   96----, 1454----,-----G   ,-----    ,     ----,-----    
TO536,20240322003000:  162    ,     ----,     ----,  162----,  980----,  162----,     ----, 3440----,     ----,  590    ,  654----,     ----,  590X   , 4168----,  222----,     ----,     ----,     ----, 1301----,-----G   ,-----    ,     ----,-----    
TO536,20240322004500:  174    ,     ----,  920----,  174----,  980----,  174----,     ----, 3680----,     ----,  582    ,  594----,     ----,  582X   ,     ----,  234----,     ----,     ----,   96----,     ----,-----G   ,-----    ,     ----,-----    
TO536,20240322010000:  174    ,     ----, 1000----,  210----,  960----,  210----,     ----, 3720----,     ----,  586    ,  594----,     ----,  586X   ,     ----,  270----,     ----,     ----,   85----,     ----,-----G   ,-----    ,     ----,-----    
TO536,20240322011500:  166    ,     ----,  920----,  166----,  980----,  166----,     ----, 3540----,     ----,  594    ,  650----,     ----,  594X   , 4149----,  226----,     ----,     ----,     ----, 1370----,-----G   ,-----    ,     ----,-----    
TO536,20240322013000:  166    ,     ----,  920----,  214----,  980----,  214----,     ----, 3340----,     ----,  646    ,  654----,     ----,  646X   , 4128----,  274----,     ----,     ----,   96----, 1451----,-----G   ,-----    ,     ----,-----    
TO536,20240322014500:  170    ,  234----,  920----,  174----,  980----,  174----,     ----, 3180----,     ----,  598    ,  682----,     ----,  598X   , 3620----,  234----,     ----,     ----,   83----, 1416----,-----G   ,-----    ,     ----,-----F   
TO536,20240322020000:  166    ,  218----,  900----,  158----,  980----,  158----,     ----, 2880----,     ----,  594    ,  702----,     ----,  594X   , 3257----,  218----,     ----,     ----,   85----,     ----,-----G   ,-----    ,     ----,-----    
TO536,20240322021500:  162    ,     ----, 1000----,  166----,  980----,  166----,     ----, 2620----,     ----,  650    ,  714----,     ----,  650X   , 2790----,  226----,     ----,     ----,   62----, 1773----,-----G   ,-----    ,     ----,-----    
TO536,20240322023000:  170    ,  226----,  940----,  166----,  980----,  166----,     ----, 2440----,     ----,  662    ,  722----,     ----,  662X   , 2071----,  226----,     ----,     ----,   96----, 2016----,-----G   ,-----    ,     ----,-----    
