#                       fmin  ,   foE   ,   h'E   ,   foEs  ,   h'Es  ,   fbEs  ,   foF1  ,   h'F   ,   h'F2  ,   foF2  ,   fxF2  ,   M3F2  ,   fxI   ,   hpF2  ,   fxEs  ,   ftEs  ,   fxF1  ,   FSPR  ,   MUF   ,   Es1   ,   Es2   ,   Es    ,   W     
WK546,20240322000000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 3140----,  614    ,  666----,     ----,  596X   , 3848----,     ----,     ----,     ----,   96----, 1568----,-----G   ,-----    ,     ----,-----    
WK546,20240322001500:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 3560----,  590    ,  646----,     ----,  596X   , 4173----,     ----,     ----,     ----,     ----, 1469----,-----G   ,-----    ,     ----,-----    
WK546,20240322003000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 3680----,  582    ,  630----,     ----,  596X   , 4251----,     ----,     ----,     ----, 9999----, 1426----,-----G   ,-----    ,     ----,-----    
WK546,20240322004500:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 3660----,  578    ,  634----,     ----,  596X   , 4217----,     ----,     ----,     ----, 9999----, 1419----,-----G   ,-----    ,     ----,-----    
WK546,20240322010000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 3580----,  586    ,  634----,     ----,  538X   , 3570----,     ----,     ----,     ----,     ----, 1168----,-----G   ,-----    ,     ----,-----    
WK546,20240322011500:  154    ,     ----,     ----,     ----,  960----,     ----,     ----,     ----, 3560----,  606    ,  650----,     ----,  596X   , 4103----,  218----,     ----,     ----, 9999----, 1484----,-----G   ,-----    ,     ----,-----    
WK546,20240322013000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 3300----,  618    ,  674----,     ----,  584X   , 3779----,     ----,     ----,     ----,   84----, 1461----,-----G   ,-----    ,     ----,-----    
WK546,20240322014500:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 3180----,  622    ,  698----,     ----,  596X   ,     ----,     ----,     ----,     ----,   48----,     ----,-----G   ,-----    ,     ----,-----    
WK546,20240322020000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2840----,  642    ,  710----,     ----,  596X   , 3312----,     ----,     ----,     ----,   96----, 1562----,-----G   ,-----    ,     ----,-----    
WK546,20240322021500:  148    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2700----,  654    ,  718----,     ----,  596X   , 2924----,     ----,     ----,     ----,   60----, 1716----,-----G   ,-----    ,     ----,-----F   
WK546,20240322023000:  148    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2560----,  670    ,  730----,     ----,  588X   , 3179----,     ----,     ----,     ----,   60----, 1965----,-----G   ,-----    ,     ----,-----    
WK546,20240322024500:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2360----,  638    ,  698----,     ----,  728X   , 2778----,     ----,     ----,     ----,   48----, 2011----,-----G   ,-----    ,     ----,-----    
WK546,20240322030000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2420----,  622    ,  678----,     ----,  596X   , 2741----,     ----,     ----,     ----,   72----, 1755----,-----G   ,-----    ,     ----,-----    
WK546,20240322031500:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2480----,  570    ,  638----,     ----,  632X   , 3252----,     ----,     ----,     ----,  108----, 1688----,-----G   ,-----    ,     ----,-----    
WK546,20240322033000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2580----,  542    ,  618----,     ----,  620X   , 3442----,     ----,     ----,     ----,   96----, 1515----,-----G   ,-----    ,     ----,-----F   
WK546,20240322034500:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2520----,  518    ,  594----,     ----,  596X   , 4990----,     ----,     ----,     ----,   96----,     ----,-----G   ,-----    ,     ----,-----    
WK546,20240322040000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2560----,  502    ,  574----,     ----,  580X   , 3443----,     ----,     ----,     ----,  108----, 1390----,-----G   ,-----    ,     ----,-----    
WK546,20240322041500:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2680----,  434    ,  534----,     ----,  556X   , 3523----,     ----,     ----,     ----,  108----, 1277----,-----G   ,-----    ,     ----,-----    
WK546,20240322043000:  148    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 3060----,  450    ,  526----,     ----,  532X   , 4119----,     ----,     ----,     ----, 9999----, 1188----,-----G   ,-----    ,     ----,-----    
WK546,20240322044500:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 3240----,  442    ,  542----,     ----,  544X   , 4123----,     ----,     ----,     ----, 9999----, 1195----,-----G   ,-----    ,     ----,-----    
WK546,20240322050000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 3160----,  510    ,  574----,     ----,  532X   , 4040----,     ----,     ----,     ----,     ----, 1336----,-----G   ,-----    ,     ----,-----    
WK546,20240322051500:  148    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2780----,  534    ,  598----,     ----,  596X   , 3580----,     ----,     ----,     ----,   96----, 1502----,-----G   ,-----    ,     ----,-----    
WK546,20240322053000:  172    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2580----,  538    ,  618----,     ----,  548X   , 2895----,     ----,     ----,     ----,   36----, 1662----,-----G   ,-----    ,     ----,-----F   
WK546,20240322054500:  162    ,     ----,     ----,     ----,  960----,     ----,     ----,     ----, 2280----,  558    ,  622----,     ----,  560X   , 2830----,  234----,     ----,     ----,   60----, 1794----,-----G   ,-----    ,     ----,-----    
WK546,20240322060000:  148    ,     ----, 1400----,     ----,     ----,     ----,     ----,     ----, 2380----,  606    ,  674----,     ----,  692X   , 2903----,     ----,     ----,     ----,  132----, 1827----,-----G   ,-----    ,     ----,-----    
WK546,20240322061500:  150    ,     ----, 1230----,  252----,  980----,     ----,     ----,     ----, 2200----,  622    ,  690----,     ----,  704X   , 2741----,  222----,  312----,     ----,  144----, 2001----,-----    ,-----    ,     ----,-----    
WK546,20240322063000:  154    ,     ----, 1230----,  268----,  980----,     ----,     ----,     ----, 2260----,  630    ,  686----,     ----,  720X   , 3406----,  226----,  328----,     ----,  144----, 1828----,-----    ,-----    ,     ----,-----    
WK546,20240322064500:  166    ,     ----, 1050----,  256----, 1020----,     ----,     ----, 3360----, 2600----,  742    ,  794----,     ----,  768X   , 3200----,  218----,  316----,     ----,  108----, 2130----,-----    ,-----    ,     ----,-----    
WK546,20240322070000:  166    ,     ----,  930----,  268----, 1000----,     ----,     ----, 2760----, 2540----,  762    ,  810----,     ----,  832X   , 2810----,  222----,  328----,     ----,  108----, 2469----,-----    ,-----    ,     ----,-----    
WK546,20240322071500:  166    ,     ----,  930----,  256----, 1020----,     ----,     ----, 2680----, 2160----,  770    ,  846----,     ----,  856X   , 2774----,  222----,  316----,     ----,   48----, 2386----,-----    ,-----    ,     ----,-----    
WK546,20240322073000:  162    ,     ----,  870----,  260----, 1000----,     ----,     ----, 2640----, 2280----,  794    ,  842----,     ----,  868X   , 2733----,  222----,  320----,     ----,   48----, 2605----,-----    ,-----    ,     ----,-----F   
WK546,20240322074500:  154    ,     ----,  920----,  380----,  960----,  320----,     ----, 2700----, 2260----,  714    ,  790----,     ----,  732X   , 2548----,  462----,  440----,     ----,   60----, 2320----,-----    ,-----    ,     ----,-----    
WK546,20240322080000:  158    ,     ----,  930----,  372----,  980----,  320----,     ----, 2640----, 2260----,  678    ,  718----,     ----,  756X   , 2665----,  398----,  432----,     ----,   96----, 2242----,-----    ,-----    ,     ----,-----    
