관측일자(OBSR_YMD)	임계주파수F2층값(FO_F2_VALUE)	F2층높이(F2_HG)
2024-03-25 23:52:30	10.4	246.962
2024-03-25 23:45:00	10.45	256.62
2024-03-25 23:37:30	10.425	244.038
2024-03-25 23:30:00	10.5	250.915
2024-03-25 23:22:30	10.4	253.729
2024-03-25 23:15:00	11.175	388.767
2024-03-25 23:07:30	10.125	247.217
2024-03-25 23:00:00	10.025	253.604
2024-03-25 22:52:30	9.9	261.464
2024-03-25 22:45:00	9.775	260.142
2024-03-25 22:37:30	9.275	242.27
2024-03-25 22:30:00	9.1	243.875
2024-03-25 22:22:30	8.9	248.255
2024-03-25 22:15:00	8.625	240.796
2024-03-25 22:07:30	8.475	252.723
2024-03-25 22:00:00	8.325	256.407
2024-03-25 21:52:30	7.975	253.291
2024-03-25 21:45:00	7.75	271.388
2024-03-25 21:37:30	7.475	277.485
2024-03-25 21:30:00	6.45	245.883
2024-03-25 21:22:30	6.4	261.73
2024-03-25 21:15:00	6.425	282.883
2024-03-25 21:07:30	5.6	280.348
2024-03-25 21:00:00	6.2	316.958
2024-03-25 20:52:30	6.15	335.371
2024-03-25 20:45:00	5.65	326.777
2024-03-25 20:37:30	5.825	348.031
2024-03-25 20:30:00	5.775	351.385
2024-03-25 20:22:30	5.2	320.413
2024-03-25 20:15:00	5.2	322.466
2024-03-25 20:07:30	5.45	331.064
2024-03-25 20:00:00	5.7	345.468
2024-03-25 19:52:30	5.525	337.588
2024-03-25 19:45:00	5.675	348.163
2024-03-25 19:37:30	5.775	355.41
2024-03-25 19:30:00		
2024-03-25 19:22:30	5.8	358.087
2024-03-25 19:15:00	5.85	362.655
2024-03-25 19:07:30	5.8	356.411
2024-03-25 19:00:00	5.675	350.927
2024-03-25 18:52:30	5.8	364.109
2024-03-25 18:45:00	5.725	362.328
2024-03-25 18:37:30	5.7	363.442
2024-03-25 18:30:00	5.575	363.138
2024-03-25 18:22:30	5.225	353.215
2024-03-25 18:15:00	4.525	335.607
2024-03-25 18:07:30	5.825	386.789
2024-03-25 18:00:00	5.825	381.131
2024-03-25 17:52:30	4.375	320.966
2024-03-25 17:45:00	5.05	328.21
2024-03-25 17:37:30	5.625	336.788
2024-03-25 17:30:00	5.675	328.862
2024-03-25 17:22:30	5.8	335.202
2024-03-25 17:15:00	5.675	328.886
2024-03-25 17:07:30	5	331.123
2024-03-25 17:00:00	4.65	326.075
2024-03-25 16:52:30	6.2	363.847
2024-03-25 16:45:00	5.6	343.491
2024-03-25 16:37:30	3.025	283.761
2024-03-25 16:30:00	5.775	361.076
2024-03-25 16:22:30		
2024-03-25 16:15:00	4.775	319.423
2024-03-25 16:07:30	5.8	356.33
2024-03-25 16:00:00	5.775	347.703
2024-03-25 15:52:30	5.8	348.461
2024-03-25 15:45:00	5.4	326.39
2024-03-25 15:37:30	5.425	325.954
2024-03-25 15:30:00	5.125	306.304
2024-03-25 15:22:30	5.45	311.859
2024-03-25 15:15:00	5.575	310.729
2024-03-25 15:07:30	5.375	298.78
2024-03-25 15:00:00	5.2	286.587
2024-03-25 14:52:30	5.475	294.244
2024-03-25 14:45:00	6.4	
2024-03-25 14:37:30	5.25	270.426
2024-03-25 14:30:00	5.8	279.681
2024-03-25 14:22:30	6.525	284.297
2024-03-25 14:15:00	7.175	
2024-03-25 14:07:30	5.775	261.995
2024-03-25 14:00:00	6.525	275.08
2024-03-25 13:52:30	7.475	316.241
2024-03-25 13:45:00	6.875	279.215
2024-03-25 13:37:30	6.375	264.803
2024-03-25 13:30:00	7.875	
2024-03-25 13:22:30	7.125	279.608
2024-03-25 13:15:00	7.65	297.604
2024-03-25 13:07:30	7.075	285.79
2024-03-25 13:00:00		
2024-03-25 12:52:30	7.2	304.834
2024-03-25 12:45:00	7.2	316.133
2024-03-25 12:37:30	6.575	294.483
2024-03-25 12:30:00	7.025	308.665
2024-03-25 12:22:30	7.925	350.982
2024-03-25 12:15:00	7.9	
2024-03-25 12:07:30	7.9	328.313
2024-03-25 12:00:00	4.55	264.203
2024-03-25 11:52:30	6.15	278.424
2024-03-25 11:45:00	7.825	318.954
2024-03-25 11:37:30	7.125	298.354
2024-03-25 11:30:00	6.7	302.802
