관측일자(OBSR_YMD)	임계주파수F2층값(FO_F2_VALUE)	F2층높이(F2_HG)
2024-03-25 23:52:30	10.825	250.599
2024-03-25 23:45:00	10.925	247.751
2024-03-25 23:37:30	10.9	258.799
2024-03-25 23:30:00	10.675	263.414
2024-03-25 23:22:30	10.325	245.716
2024-03-25 23:15:00	10.2	255.256
2024-03-25 23:07:30	10.1	253.249
2024-03-25 23:00:00	9.35	236.573
2024-03-25 22:52:30	9.3	
2024-03-25 22:45:00	9.175	238.067
2024-03-25 22:37:30	9.225	231.122
2024-03-25 22:30:00	9.275	235.445
2024-03-25 22:22:30	8.525	230.502
2024-03-25 22:15:00	8.825	232.272
2024-03-25 22:07:30	8.675	260.99
2024-03-25 22:00:00	8.175	246.953
2024-03-25 21:52:30	8	249.202
2024-03-25 21:45:00	7	243.07
2024-03-25 21:37:30	5.825	217.63
2024-03-25 21:30:00		
2024-03-25 21:22:30	5.8	268.246
2024-03-25 21:15:00	4.75	272.347
2024-03-25 21:07:30	5.525	304.055
2024-03-25 21:00:00	5.275	306.95
2024-03-25 20:52:30	5.575	313.37
2024-03-25 20:45:00	4.775	296.925
2024-03-25 20:37:30	4.925	306.798
2024-03-25 20:30:00	5.1	318.319
2024-03-25 20:22:30	5.2	326.541
2024-03-25 20:15:00	5.675	350.389
2024-03-25 20:07:30	4.425	308.913
2024-03-25 20:00:00	3.85	296.296
2024-03-25 19:52:30	3.4	285.22
2024-03-25 19:45:00	4.8	323.851
2024-03-25 19:37:30	4.625	319.838
2024-03-25 19:30:00	4.975	336.942
2024-03-25 19:22:30	4.65	320.66
2024-03-25 19:15:00	4.45	322.033
2024-03-25 19:07:30	4.95	335.932
2024-03-25 19:00:00	5.25	353.274
2024-03-25 18:52:30	5.75	375.582
2024-03-25 18:45:00	3.2	301.421
2024-03-25 18:37:30	3.75	310.96
2024-03-25 18:30:00	4.4	322.042
2024-03-25 18:22:30	3.675	305.195
2024-03-25 18:15:00	3.225	289.281
2024-03-25 18:07:30	5.675	360.015
2024-03-25 18:00:00	3.65	298.896
2024-03-25 17:52:30	3.55	285.161
2024-03-25 17:45:00	5.175	328.121
2024-03-25 17:37:30	5.075	321.722
2024-03-25 17:30:00	5.8	354.093
2024-03-25 17:22:30	5.3	329.806
2024-03-25 17:15:00	5.85	373.011
2024-03-25 17:07:30	5.7	350.187
2024-03-25 17:00:00	5.625	346.903
2024-03-25 16:52:30	5.75	358.464
2024-03-25 16:45:00	4.875	325.795
2024-03-25 16:37:30	5	327.715
2024-03-25 16:30:00	5.15	335.547
2024-03-25 16:22:30	5.825	366.11
2024-03-25 16:15:00	5.825	367.235
2024-03-25 16:07:30	5.8	359.997
2024-03-25 16:00:00	5.825	357.538
2024-03-25 15:52:30	5.775	342.982
2024-03-25 15:45:00	5.8	338.498
2024-03-25 15:37:30	5.8	332.847
2024-03-25 15:30:00	5.8	325.391
2024-03-25 15:22:30	5.85	322.785
2024-03-25 15:15:00	6.175	
2024-03-25 15:07:30	5.95	317.831
2024-03-25 15:00:00	6.025	
2024-03-25 14:52:30	6	294.866
2024-03-25 14:45:00	6.55	292.473
2024-03-25 14:37:30	6.825	287.803
2024-03-25 14:30:00	7.175	288.767
2024-03-25 14:22:30	7.7	299.127
2024-03-25 14:15:00	7.85	299.488
2024-03-25 14:07:30	7.975	301.208
2024-03-25 14:00:00	8.125	308.375
2024-03-25 13:52:30	8.175	312.73
2024-03-25 13:45:00	8.225	317.2
2024-03-25 13:37:30	8.225	322.663
2024-03-25 13:30:00	8.2	323.298
2024-03-25 13:22:30	8.2	324.88
2024-03-25 13:15:00	8.2	332.774
2024-03-25 13:07:30	8.2	342.495
2024-03-25 13:00:00	8.15	347.543
2024-03-25 12:52:30	8.075	348.418
2024-03-25 12:45:00	8.075	358.74
2024-03-25 12:37:30	8.075	352.578
2024-03-25 12:30:00	8.125	346.691
2024-03-25 12:22:30	8.2	335.176
2024-03-25 12:15:00	8.325	337.247
2024-03-25 12:07:30	8.45	340.482
2024-03-25 12:00:00	8.55	346.489
2024-03-25 11:52:30	8.55	338.433
2024-03-25 11:45:00	8.55	334.287
2024-03-25 11:37:30	8.6	338.618
2024-03-25 11:30:00	8.675	
2024-03-25 11:22:30	8.6	311.316
2024-03-25 11:15:00	8.975	309.946
2024-03-25 11:07:30	9.05	283.268
2024-03-25 11:00:00	9.45	282.392
2024-03-25 10:52:30	10.1	300.065
2024-03-25 10:45:00	10.4	295.903
2024-03-25 10:37:30	10.55	292.145
2024-03-25 10:30:00	10.775	292.508
2024-03-25 10:22:30	10.85	290.258
2024-03-25 10:15:00	11.2	294.667
2024-03-25 10:07:30	11.325	292.977
2024-03-25 10:00:00	11.525	289.815
2024-03-25 09:52:30	11.925	290.965
2024-03-25 09:45:00	12.1	295.295
2024-03-25 09:37:30	11.55	273.695
