#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         NSSDC
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     OMNI (1AU IP Data)>Merged 1 Hour Interplantary OMNI data
#     DATA_TYPE                       H0>Definitive Hourly
#     DESCRIPTOR                      IMF, Plasma, Indices, Energetic Proton Flux
#     DATA_VERSION                    1
#     TITLE                           Near-Earth Heliosphere Data (OMNI)
#     TEXT                            Hourly averaged definitive multispacecraft interplanetary parameters data
#                                     OMNI Data Documentation: https://omniweb.gsfc.nasa.gov/html/ow_data.html
#                                     Additional data access options available at  SPDF's OMNIWeb Service: https://omniweb.gsfc.nasa.gov/ow.
#                                     COHOWeb-formatted OMNI_M merged magnetic field and plasma data http://cohoweb.gsfc.nasa.gov/          
#                                     Recent OMNI 1-HR Updates News: https://omniweb.gsfc.nasa.gov/html/ow_news.html
#                                     Data variables with 1800 in their names use time stamps on the half-hour (1800                        
#                                      seconds) to reflect the mid-point of the hourly data, and are tied to the EPOCH_1800                  
#                                      time variables                                                                                        
#     MODS                            created August 2003;
#                                     conversion to ISTP/IACG CDFs via SKTEditor Feb 2000
#                                     2024 Sept: Added BIN_LOCATION attributes and add half-hour note to CATDESC for                        
#                                      virtual variables                                                                                     
#     LOGICAL_FILE_ID                 omni2_h0_mrg1hr_00000000_v01
#     PI_NAME                         J.H. King, N. Papitashvili
#     PI_AFFILIATION                  ADNET, NASA GSFC
#     GENERATION_DATE                 Ongoing
#     ACKNOWLEDGEMENT                 NSSDC
#     ADID_REF                        NSSD0110
#     RULES_OF_USE                    Public
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#                                     Magnetic Fields (space)
#                                     Particles (space)
#                                     Electric Fields (space)
#                                     Activity Indices
#     GENERATED_BY                    King/Papitashvili
#     TIME_RESOLUTION                 1 hour
#     LOGICAL_SOURCE                  omni2_h0_mrg1hr
#     LOGICAL_SOURCE_DESCRIPTION      OMNI Combined, Definitive, Hourly IMF and Plasma Data, and Energetic Proton                           
#                                      Fluxes, Time-Shifted to the Nose of the Earth's Bow Shock, plus Solar and Magnetic                    
#                                      Indices                                                                                               
#     LINK_TITLE                      OMNI Data documentation
#                                     SPDF's OMNIWeb Service
#                                     COHOWeb-formatted OMNI_M merged magnetic field and plasma data
#                                     Release Notes
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/html/ow_data.html
#                                     https://omniweb.gsfc.nasa.gov/ow.html
#                                     http://cohoweb.gsfc.nasa.gov/
#                                     https://omniweb.gsfc.nasa.gov/html/ow_news.html
#     ALT_LOGICAL_SOURCE              Combined_OMNI_1AU-MagneticField-Plasma-Particles_mrg1hr_1hour_cdf
#     MISSION_GROUP                   OMNI (Combined 1AU IP Data; Magnetic and Solar Indices)
#                                     ACE
#                                     Wind
#                                     IMP (All)
#                                     !___Interplanetary Data near 1 AU
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/OMNI/PT1H
#     DOI                             https://doi.org/10.48322/1shr-ht18
#     CDAWEB_PARENTS                  omni2_h0_mrg1hr_00000000_v01
#                                     omni2_h0_mrg1hr_20240101_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time_at_center_of_hour
#  2. 1AU IP By (nT), GSM (half-hour midpoint)
#  3. 1AU IP Bz (nT), GSM (half-hour midpoint)
#  4. 1AU IP Ion number density (per cc) (half-hour midpoint)
#  5. 1AU IP plasma flow speed (km/s) (half-hour midpoint)
#  6. 1AU IP Flow pressure (nPa) (half-hour midpoint)
#  7. Kp - 3-hour Kp*10 (Kp=1-,1,1+ corresponds to 7,10,13), fromNGDC (1963/001-2025/009) (half-hour midpoint)
#  8. Dst - 1-hour Dst index (1963/001-2014/366), Provisional Dst (2021/001-2024/182), Quick-look Dst (2024/183-2025/009), from WDC Kyoto (half-hour midpoint)
#  9. AE - 1-hour AE-index,from WDC Kyoto (1963/001-1988/182), Provisional (1990/001-2019/365), from WDC Kyoto (half-hour midpoint)
#
TIME_AT_CENTER_OF_HOUR  1AU_IP_BY,_GSM 1AU_IP_BZ,_GSM 1AU_IP_N_(ION) 1AU_IP_PLASMA_SPEED 1AU_IP_FLOW_PRESSURE 3-H_KP*10 1-H_DST 1-H_AE
dd-mm-yyyy hh:mm:ss.ms              nT             nT         Per_cc                Km/s                  nPa                nT     nT
10-05-2024 00:30:00.000        4.10000       -3.00000        5.40000             410.000              1.85000        27       4    168
10-05-2024 01:30:00.000       0.900000       -3.70000        5.50000             398.000              1.76000        27       3    479
10-05-2024 02:30:00.000        3.60000       0.100000        6.60000             425.000              2.24000        27       5    198
10-05-2024 03:30:00.000        1.00000      -0.900000        10.5000             430.000              3.53000        27      13    203
10-05-2024 04:30:00.000       -1.90000       -3.40000        12.0000             432.000              4.07000        27       6    364
10-05-2024 05:30:00.000      -0.400000      -0.700000        11.3000             430.000              3.77000        27      -4    225
10-05-2024 06:30:00.000      -0.500000       -1.00000        9.00000             422.000              2.87000        23      -3    148
10-05-2024 07:30:00.000       -1.00000       -1.20000        9.30000             416.000              2.89000        23       6    247
10-05-2024 08:30:00.000      -0.900000       0.100000        8.50000             412.000              2.59000        23       5    291
10-05-2024 09:30:00.000      -0.700000      -0.200000        8.00000             415.000              2.46000        20       6     92
10-05-2024 10:30:00.000       -1.80000       -3.20000        4.30000             421.000              1.35000        20       5    210
10-05-2024 11:30:00.000       -1.90000       -3.10000        3.50000             423.000              1.13000        20      -3    388
10-05-2024 12:30:00.000      -0.100000       -1.90000        2.90000             409.000             0.950000        37      -7    513
10-05-2024 13:30:00.000       0.500000       0.600000        3.20000             411.000              1.07000        37      -8    375
10-05-2024 14:30:00.000       0.900000       -1.00000        5.10000             446.000              1.88000        37      -1    401
10-05-2024 15:30:00.000      -0.500000      -0.600000        14.2000             455.000              5.26000        77      13    262
10-05-2024 16:30:00.000       0.900000        1.90000        15.6000             449.000              5.69000        77      18    182
10-05-2024 17:30:00.000       -1.90000       -5.90000        29.1000             571.000              17.7500        77      61   1286
10-05-2024 18:30:00.000       -14.1000       -18.0000        32.9000             697.000              31.1800        87     -36   1102
10-05-2024 19:30:00.000       -23.0000       -1.20000        35.2000             664.000              28.6100        87    -135   1807
10-05-2024 20:30:00.000        3.00000       -26.9000        48.1000             702.000              55.8900        87    -165    867
10-05-2024 21:30:00.000       0.300000       -35.0000        32.6000             697.000              36.5000        87    -287    714
10-05-2024 22:30:00.000       -11.9000       -13.7000        20.1000             729.000              26.2600        87    -351   1073
10-05-2024 23:30:00.000        67.6000        4.70000        20.2000             740.000              27.7800        87    -318   1305
11-05-2024 00:30:00.000        35.1000       -35.3000        14.7000             742.000              20.7600        90    -322    874
11-05-2024 01:30:00.000       -12.4000       -34.0000        25.2000             732.000              33.3700        90    -397    926
11-05-2024 02:30:00.000      -0.800000       -20.5000        38.4000             738.000              48.7600        90    -412   1014
11-05-2024 03:30:00.000       -14.8000       -22.8000        17.5000             748.000              23.6800        83    -403    717
11-05-2024 04:30:00.000       -27.9000       -18.9000        8.40000             704.000              10.4000        83    -399    845
11-05-2024 05:30:00.000       -34.1000        5.90000        19.9000             700.000              23.0600        83    -369    896
11-05-2024 06:30:00.000       -16.8000       -9.90000        31.7000             692.000              41.4700        83    -332    864
11-05-2024 07:30:00.000        22.9000       -18.0000        33.9000             689.000              42.5700        83    -384   1515
11-05-2024 08:30:00.000        21.1000       -15.5000        22.6000             709.000              30.4300        83    -373   1189
11-05-2024 09:30:00.000        11.9000       -35.2000        13.1000             691.000              17.5500        90    -306   1956
11-05-2024 10:30:00.000        3.70000       -12.7000        32.8000             691.000              43.1000        90    -326   1506
11-05-2024 11:30:00.000        6.00000       -1.30000        17.8000             759.000              24.1800        90    -274    998
11-05-2024 12:30:00.000        11.0000       -16.5000        12.5000             809.000              22.5700        87    -265   1606
11-05-2024 13:30:00.000        8.70000       -22.3000        8.50000             804.000              13.8400        87    -287   1966
11-05-2024 14:30:00.000        12.3000       -19.8000        7.90000             770.000              10.9800        87    -292   1722
11-05-2024 15:30:00.000        2.40000       -14.6000        7.50000             793.000              11.0000        83    -275   1606
11-05-2024 16:30:00.000       -4.70000       -7.90000        5.20000             785.000              7.62000        83    -277   1218
11-05-2024 17:30:00.000       -4.70000       -4.60000        4.50000             796.000              7.14000        83    -253    896
11-05-2024 18:30:00.000        7.50000        2.00000        8.30000             863.000              15.9000        77    -206    563
11-05-2024 19:30:00.000        2.70000       0.800000        8.50000             880.000              16.4400        77    -202    702
11-05-2024 20:30:00.000        2.40000       0.200000        7.00000             896.000              13.1800        77    -197    758
11-05-2024 21:30:00.000        2.00000       0.900000        8.10000             894.000              15.6500        77    -179    903
11-05-2024 22:30:00.000      -0.500000        8.00000        7.00000             887.000              13.1700        77    -169    443
