#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         THEMIS
#     SOURCE_NAME                     THA>Themis Probe A
#     DISCIPLINE                      Space Physics>Magnetospheric Science
#     DATA_TYPE                       FGM
#     DESCRIPTOR                      L2>L2 DATA
#     DATA_VERSION                    1
#     PI_NAME                         V. Angelopoulos, U. Auster & K.H. Glassmeier and W. Baumjohann
#     PI_AFFILIATION                  UCB, TUBS and IWF respectively, NASA NAS5-02099
#     TITLE                           Fluxgate Magnetometer Measurements
#     TEXT                            Sensor and electronics design provided by TUBS (Glassmeier, Auster) and IWF                           
#                                      (Baumjohann, Magnes)                                                                                  
#     INSTRUMENT_TYPE                 Magnetic Fields (space)
#     MISSION_GROUP                   THEMIS
#     LOGICAL_SOURCE                  tha_l2_fgm
#     LOGICAL_FILE_ID                 tha_l2_fgm_00000000_v01
#     LOGICAL_SOURCE_DESCRIPTION      Spacecraft-collected fluxgate magnetometer, Decimated TeleMetry High, DSL, GSE                        
#                                      and GSM coordinates                                                                                   
#     TIME_RESOLUTION                 1/4-1/128s
#     RULES_OF_USE                    Open Data for Scientific Use
#     GENERATED_BY                    THEMIS SOC
#     GENERATION_DATE                 Wed Jun 19 11:29:49 2024
#     ACKNOWLEDGEMENT                 NASA Contract NAS5-02099
#     MODS                            Rev- 2006-09-18
#     ADID_REF                        NSSD0110
#     LINK_TEXT                       THEMIS FGM
#                                     Higher resolution data and analysis s/w from
#                                     Detailed description of the
#     LINK_TITLE                      Processing History
#                                     THEMIS mission website
#                                     FGM instrument
#     HTTP_LINK                       http://themis.ssl.berkeley.edu/fgm_proc_history.shtml
#                                     http://themis.ssl.berkeley.edu/
#                                     http://themis.ssl.berkeley.edu/instrument_fgm.shtml
#     FILE_NAMING_CONVENTION          source_descriptor_datatype
#     CAVEATS                         See THEMIS website for caveats
#     VALIDITY                        to be validated
#     VALIDATOR                       tbd
#     VALIDATE                        Compatible with the ISTP CDF Standards
#     INST_MOD                        THM>xxxx
#     PARENTS                         xxxx
#     INST_SETTINGS                   Not used
#     SOFTWARE_VERSION                32653
#     SPASE_DATASETRESOURCEID         spase://DLR/NumericalData/THEMIS/A/FGM/PT0.0078125S
#     CDAWEB_PARENTS                  tha_l2_fgm_00000000_v01
#                                     tha_l2_fgm_20240510_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. tha_fgs_epoch
#  2. ---- FGS (spin-resolution/~3 sec) magnetic  field B in XYZ GSE Coordinates
#       NOTES:  Units are in nanotesla
#
UT                                    BX_FGS-D               BY_FGS-D               BZ_FGS-D
                                        (@_1_)                 (@_2_)                 (@_3_)
dd-mm-yyyy hh:mm:ss.ms                  nT_GSE                 nT_GSE                 nT_GSE
10-05-2024 13:00:00.769               -18.3015               -6.84809                7.32785
10-05-2024 13:00:03.509               -4.77931               -4.00262               -13.2891
10-05-2024 13:00:06.250                3.68968               -14.9489               -32.4824
10-05-2024 13:00:08.990               -1.65135               -18.9021               -33.4344
10-05-2024 13:00:11.730               -13.1535               -9.76135               -25.7905
10-05-2024 13:00:14.471               -13.4619               -11.8731               -17.1451
10-05-2024 13:00:17.211               -5.65568               -5.42600               -19.3519
10-05-2024 13:00:19.952               -3.47416               -3.07800               -13.8441
10-05-2024 13:00:22.692               -4.80290               -1.51690               -10.3166
10-05-2024 13:00:25.433               -3.65215               0.641639               -7.08483
10-05-2024 13:00:28.173               -2.59745               0.934902               -6.10122
10-05-2024 13:00:30.914               -2.48733               0.803376               -6.70272
10-05-2024 13:00:33.654               -3.18444              -0.475272               -10.7497
10-05-2024 13:00:36.395               -5.38167               -3.09713               -14.9169
10-05-2024 13:00:39.135               -6.95763               -6.36244               -19.5001
10-05-2024 13:00:41.876               -8.17249               -8.69360               -20.5050
10-05-2024 13:00:44.616               -8.73519               -9.73764               -21.0389
10-05-2024 13:00:47.357               -7.21353               -7.85646               -22.3948
10-05-2024 13:00:50.097               -10.7436               -10.4366               -20.8857
10-05-2024 13:00:52.838               -6.91719               -10.6002               -20.6294
10-05-2024 13:00:55.578               -6.08906               -11.1232               -23.2989
10-05-2024 13:00:58.319               -2.68294               -9.25041               -24.9891
10-05-2024 13:01:01.059               -2.81878               -9.61121               -25.8630
10-05-2024 13:01:03.799               -2.40180               -9.43266               -27.1287
10-05-2024 13:01:06.540               -1.42676               -9.86035               -28.0184
10-05-2024 13:01:09.280               -1.82603               -9.51485               -26.9977
10-05-2024 13:01:12.021               -1.33682               -8.60317               -26.2575
10-05-2024 13:01:14.761              -0.238407               -11.4805               -25.5240
10-05-2024 13:01:17.502               -2.34617               -13.0161               -26.1341
10-05-2024 13:01:20.242               -1.80925               -12.3343               -25.9839
10-05-2024 13:01:22.983               -2.53618               -11.2794               -24.7098
10-05-2024 13:01:25.723               -1.78499               -11.5473               -23.4131
10-05-2024 13:01:28.464               -1.65242               -11.5774               -24.5996
10-05-2024 13:01:31.204              -0.165275               -12.7104               -25.0512
10-05-2024 13:01:33.945              -0.882483               -12.7757               -24.7399
10-05-2024 13:01:36.685             -0.0808378               -13.6418               -23.6819
10-05-2024 13:01:39.426              -0.587252               -12.7657               -23.4112
10-05-2024 13:01:42.166              0.0374783               -13.7035               -24.3397
10-05-2024 13:01:44.907               0.699977               -12.7086               -24.8029
10-05-2024 13:01:47.647               0.386468               -9.69532               -25.4544
10-05-2024 13:01:50.387                2.12416               -8.56240               -23.5999
10-05-2024 13:01:53.128                2.46452               -7.91949               -22.8426
10-05-2024 13:01:55.868                2.66038               -7.62566               -21.3760
10-05-2024 13:01:58.609                2.73790               -5.44822               -20.5679
10-05-2024 13:02:01.349                1.96313               -6.15568               -20.8984
10-05-2024 13:02:04.090                2.26112               -6.22594               -20.2662
10-05-2024 13:02:06.830                3.54100               -6.16777               -22.0803
10-05-2024 13:02:09.571                4.70091               -9.51995               -23.0453
10-05-2024 13:02:12.311                6.24532               -11.6878               -24.1708
10-05-2024 13:02:15.052                7.42835               -9.22464               -25.0398
10-05-2024 13:02:17.792                7.76680               -10.8082               -25.7421
10-05-2024 13:02:20.533                9.86405               -11.3821               -26.9719
10-05-2024 13:02:23.273                10.9118               -11.1950               -27.8065
10-05-2024 13:02:26.014                9.57017               -13.2423               -27.2119
10-05-2024 13:02:28.754                12.6323               -8.25278               -26.3234
10-05-2024 13:02:31.495                19.8386               -2.98791               -17.1491
10-05-2024 13:02:34.235                17.6751               -3.46908               -16.4832
10-05-2024 13:02:36.975                16.6529               -7.11623               -19.9600
10-05-2024 13:02:39.716                15.9258               -4.35215               -20.1442
10-05-2024 13:02:42.456                18.8761               -6.05705               -22.0491
10-05-2024 13:02:45.197                18.7321               -17.1034               -19.3478
10-05-2024 13:02:47.937                10.4393               -11.4471               -17.0009
10-05-2024 13:02:50.678                13.2224               -7.44154               -18.3700
10-05-2024 13:02:53.418                15.0440               -9.69304               -19.4559
10-05-2024 13:02:56.159                15.8566               -14.2091               -21.3055
10-05-2024 13:02:58.899                14.0866               -17.9082               -22.9266
10-05-2024 13:03:01.640                10.2539               -20.1449               -20.4030
10-05-2024 13:03:04.380                7.36462               -19.4811               -23.0510
10-05-2024 13:03:07.121                6.62884               -19.7546               -23.4016
10-05-2024 13:03:09.861                1.37505               -16.5868               -23.1690
10-05-2024 13:03:12.602                2.50952               -19.3473               -24.5243
10-05-2024 13:03:15.342                1.67943               -25.4561               -25.8002
10-05-2024 13:03:18.083               -3.79174               -29.6149               -24.0983
10-05-2024 13:03:20.823               -8.81774               -32.9180               -19.6840
10-05-2024 13:03:23.564               -13.2532               -32.7906               -11.4101
10-05-2024 13:03:26.304               -11.5709               -31.6786               -3.75013
10-05-2024 13:03:29.044               -9.66129               -30.0207               0.223978
10-05-2024 13:03:31.785               -6.52227               -28.3703                3.44106
10-05-2024 13:03:34.525               -4.16544               -25.4579                3.91562
10-05-2024 13:03:37.266               -1.42004               -23.0979                5.84468
10-05-2024 13:03:40.006               -4.57855               -24.2618                6.86712
10-05-2024 13:03:42.747               -4.32778               -21.2639                6.30239
10-05-2024 13:03:45.487              -0.442462               -19.8974                7.85694
10-05-2024 13:03:48.228               -2.11865               -18.6140                8.11902
10-05-2024 13:03:50.968               -2.57393               -18.5433                10.9989
10-05-2024 13:03:53.709              -0.214483               -13.6048                11.4269
10-05-2024 13:03:56.449              -0.132661               -13.7357                12.0139
10-05-2024 13:03:59.190               -2.06848               -14.4806                15.3832
10-05-2024 13:04:01.930               -3.47355               -11.5403                16.1269
10-05-2024 13:04:04.671               -1.20606               -9.61154                15.1483
10-05-2024 13:04:07.411               -4.13419               -8.96146                13.9650
10-05-2024 13:04:10.152               -5.02988               -5.08281                13.9920
10-05-2024 13:04:12.892               -6.03332               -1.76262                10.1021
10-05-2024 13:04:15.632                1.38805               -4.69743                13.7369
