#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         THEMIS
#     SOURCE_NAME                     THE>Themis Probe E
#     DISCIPLINE                      Space Physics>Magnetospheric Science
#     DATA_TYPE                       FGM
#     DESCRIPTOR                      L2>L2 DATA
#     DATA_VERSION                    1
#     PI_NAME                         V. Angelopoulos, U. Auster & K.H. Glassmeier and W. Baumjohann
#     PI_AFFILIATION                  UCB, TUBS and IWF respectively, NASA NAS5-02099
#     TITLE                           Fluxgate Magnetometer Measurements
#     TEXT                            Sensor and electronics design provided by TUBS (Glassmeier, Auster) and IWF                           
#                                      (Baumjohann, Magnes)                                                                                  
#     INSTRUMENT_TYPE                 Magnetic Fields (space)
#     MISSION_GROUP                   THEMIS
#     LOGICAL_SOURCE                  the_l2_fgm
#     LOGICAL_FILE_ID                 the_l2_fgm_00000000_v01
#     LOGICAL_SOURCE_DESCRIPTION      Spacecraft-collected fluxgate magnetometer, Decimated TeleMetry High, DSL, GSE                        
#                                      and GSM coordinates                                                                                   
#     TIME_RESOLUTION                 1/4-1/128s
#     RULES_OF_USE                    Open Data for Scientific Use
#     GENERATED_BY                    THEMIS SOC
#     GENERATION_DATE                 Tue Aug 22 23:14:06 2023
#     ACKNOWLEDGEMENT                 NASA Contract NAS5-02099
#     MODS                            Rev- 2006-09-18
#     ADID_REF                        NSSD0110
#     LINK_TEXT                       THEMIS FGM
#                                     Higher resolution data and analysis s/w from
#                                     Detailed description of the
#     LINK_TITLE                      Processing History
#                                     THEMIS mission website
#                                     FGM instrument
#     HTTP_LINK                       http://themis.ssl.berkeley.edu/fgm_proc_history.shtml
#                                     http://themis.ssl.berkeley.edu/
#                                     http://themis.ssl.berkeley.edu/instrument_fgm.shtml
#     FILE_NAMING_CONVENTION          source_descriptor_datatype
#     CAVEATS                         See THEMIS website for caveats
#     VALIDITY                        to be validated
#     VALIDATOR                       tbd
#     VALIDATE                        Compatible with the ISTP CDF Standards
#     INST_MOD                        THM>xxxx
#     PARENTS                         xxxx
#     INST_SETTINGS                   Not used
#     SOFTWARE_VERSION                31980
#     SPASE_DATASETRESOURCEID         spase://DLR/NumericalData/THEMIS/E/FGM/PT0.0078125S
#     CDAWEB_PARENTS                  the_l2_fgm_00000000_v01
#                                     the_l2_fgm_20150317_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. the_fgs_epoch
#  2. ---- FGS (spin-resolution/~3 sec) magnetic  field B in XYZ GSE Coordinates
#       NOTES:  Units are in nanotesla
#
UT                                    BX_FGS-D               BY_FGS-D               BZ_FGS-D
                                        (@_1_)                 (@_2_)                 (@_3_)
dd-mm-yyyy hh:mm:ss.ms         nT_GSE_(All_Qs)        nT_GSE_(All_Qs)        nT_GSE_(All_Qs)
17-03-2015 03:00:00.230               -7.73852                14.6837                29.6890
17-03-2015 03:00:04.308               -7.96561                18.2990                21.9242
17-03-2015 03:00:08.386               -6.46809                19.6232                18.0823
17-03-2015 03:00:12.464               -13.2759                21.9906                21.9889
17-03-2015 03:00:16.542               -10.4788                10.6047                25.7210
17-03-2015 03:00:20.621               -7.77758                17.1803                31.3111
17-03-2015 03:00:24.699               -6.75845                17.4615                22.1130
17-03-2015 03:00:28.777               -7.52030                15.3988                24.1189
17-03-2015 03:00:32.855               -11.6698                11.6166                22.8181
17-03-2015 03:00:36.933               -12.7591                12.2825                28.1375
17-03-2015 03:00:41.012               -14.9809                13.2499                27.3904
17-03-2015 03:00:45.090               -7.36917                20.1200                31.0207
17-03-2015 03:00:49.168               -5.24638                15.9987                24.0822
17-03-2015 03:00:53.246               -3.32117                19.3916                24.4584
17-03-2015 03:00:57.324               -9.59211                16.4000                22.1610
17-03-2015 03:01:01.402               -7.18722                13.0229                22.1502
17-03-2015 03:01:05.481               -6.60757                10.1260                25.6764
17-03-2015 03:01:09.559               -6.56536                13.9138                26.7067
17-03-2015 03:01:13.637               -7.38867                18.1369                23.3799
17-03-2015 03:01:17.715               -7.92082                14.3047                23.1749
17-03-2015 03:01:21.793               -9.44702                16.7744                22.6819
17-03-2015 03:01:25.872               -8.97293                16.2863                22.0686
17-03-2015 03:01:29.950               -9.52655                13.7689                24.9589
17-03-2015 03:01:34.028               -9.31519                15.2464                20.9575
17-03-2015 03:01:38.106               -12.4900                15.9753                24.0248
17-03-2015 03:01:42.184               -7.80184                15.5540                24.7329
17-03-2015 03:01:46.262               -8.44641                16.2169                22.0220
17-03-2015 03:01:50.341               -10.0008                16.4027                23.3718
17-03-2015 03:01:54.419               -9.10442                13.3169                23.7285
17-03-2015 03:01:58.497               -11.2664                14.7698                22.2992
17-03-2015 03:02:02.575               -7.48833                13.5058                21.9809
17-03-2015 03:02:06.653               -9.23081                14.3529                24.2216
17-03-2015 03:02:10.731               -8.46581                14.1832                25.1535
17-03-2015 03:02:14.810               -8.19276                15.1496                22.7709
17-03-2015 03:02:18.888               -10.1263                13.0850                23.6287
17-03-2015 03:02:22.966               -8.85584                13.8025                25.1075
17-03-2015 03:02:27.044               -6.21998                9.69299                23.2825
17-03-2015 03:02:31.122               -5.09520                14.5650                25.8919
17-03-2015 03:02:35.201               -6.94560                11.9664                25.2137
17-03-2015 03:02:39.279               -6.26478                13.9826                21.3595
